SCT_ID,CRS_UID,SEM_ID,SCT_TYPE,SCT_REG,SCT_SEATS,SCT_BUILD,SCT_ROOM,SCT_TITLE,SCT_UNITS
10106R,0,20231,Lecture,11,14,SOS,B41,,
10107R,0,20231,Lecture,13,14,DMC,208,,
10111R,0,20231,Lecture,9,10,WPH,204,,
10113D,0,20231,Lecture,8,10,DCC,B23,,
10114R,0,20231,Lecture,9,10,DCC,B23,,
10116R,0,20231,Lecture,9,10,DCC,B23,,
10119R,0,20231,Lecture,10,14,SOS,B38,,
10122R,0,20231,Lecture,5,10,DMC,107,,
10123R,0,20231,Lecture,11,11,DCC,B23,,
10127R,0,20231,Lecture,10,10,LVL,3Y,,
10131R,0,20231,Lecture,6,10,THH,117,,
10132R,0,20231,Lecture,12,12,DCC,B25,,
10133R,0,20231,Lecture,9,10,DMC,153,,
10134R,0,20231,Lecture,8,10,DMC,153,,
10137R,0,20231,Lecture,10,10,LVL,3B,,
10143R,0,20231,Lecture,9,12,HED,103,,
10144R,0,20231,Lecture,9,12,DCC,B24,,
10145R,0,20231,Lecture,9,12,DMC,104,,
10146R,0,20231,Lecture,9,12,THH,117,,
10150R,0,20231,Lecture,6,10,THH,217,,
10151R,0,20231,Lecture,11,12,THH,209,,
10152D,0,20231,Lecture,7,8,DCC,B24,,
10153D,0,20231,Lecture,7,8,WPH,204,,
10154D,0,20231,Lecture,5,8,THH,219,,
10155D,0,20231,Lecture,7,8,THH,111,,
10157D,0,20231,Lecture,6,8,THH,109,,
10159D,0,20231,Lecture,3,3,OFFICE,,,
10160D,0,20231,Lecture,3,3,OFFICE,,,
10162D,0,20231,Lecture,3,3,OFFICE,,,
10165D,0,20231,Lecture,3,8,SOS,B38,,
10166D,0,20231,Lecture,8,8,DMC,103,,
10170D,0,20231,Lecture,11,11,THH,111,,
10171D,0,20231,Lecture,7,8,WPH,204,,
10172D,0,20231,Lecture,7,8,THH,117,,
10173D,0,20231,Lecture,7,8,WPH,200,,
10310D,0,20231,Lecture,148,148,MHP,101,,
10311R,0,20231,Discussion,24,25,GFS,228,,
10312R,0,20231,Discussion,25,25,KAP,166,,
10313R,0,20231,Discussion,25,25,SGM,226,,
10314R,0,20231,Discussion,24,25,KAP,163,,
10315R,0,20231,Discussion,25,25,GFS,107,,
10316R,0,20231,Discussion,25,25,DMC,205,,
10320D,0,20231,Lecture,139,140,SGM,101,,
10321R,0,20231,Discussion,19,25,WPH,203,,
10322R,0,20231,Discussion,21,25,WPH,205,,
10323R,0,20231,Discussion,25,25,SOS,B47,,
10324R,0,20231,Discussion,25,25,GFS,220,,
10325R,0,20231,Discussion,24,25,GFS,220,,
10327R,0,20231,Discussion,25,26,KAP,141,,
10338D,0,20231,Lecture,143,150,SAL,101,,
10339R,0,20231,Discussion,24,24,KAP,167,,
10340R,0,20231,Discussion,25,25,GFS,229,,
10341R,0,20231,Discussion,25,25,GFS,104,,
10342R,0,20231,Discussion,24,25,GFS,108,,
10343R,0,20231,Discussion,23,25,GFS,108,,
10344R,0,20231,Discussion,22,25,KAP,159,,
10347D,0,20231,Lecture,48,49,ZHS,352,,
10348D,0,20231,Discussion,25,26,DMC,161,,
10349D,0,20231,Discussion,23,25,DMC,161,,
