SCT_ID,CRS_ID,SEM_ID,SCT_TYPE,SCT_REG,SCT_SEATS,SCT_BUILD,SCT_ROOM,SCT_TITLE,SCT_UNITS
10106R,ALI-234,20231,Lecture,11,14,SOS,B41,,
10107R,ALI-234,20231,Lecture,13,14,DMC,208,,
10111R,ALI-235,20231,Lecture,9,10,WPH,204,,
10113D,ALI-235,20231,Lecture,8,10,DCC,B23,,
10114R,ALI-235,20231,Lecture,9,10,DCC,B23,,
10116R,ALI-235,20231,Lecture,9,10,DCC,B23,,
10119R,ALI-242,20231,Lecture,10,14,SOS,B38,,
10122R,ALI-244,20231,Lecture,5,10,DMC,107,,
10123R,ALI-244,20231,Lecture,11,11,DCC,B23,,
10127R,ALI-244,20231,Lecture,10,10,LVL,3Y,,
10131R,ALI-245,20231,Lecture,6,10,THH,117,,
10132R,ALI-245,20231,Lecture,12,12,DCC,B25,,
10133R,ALI-245,20231,Lecture,9,10,DMC,153,,
10134R,ALI-245,20231,Lecture,8,10,DMC,153,,
10137R,ALI-245,20231,Lecture,10,10,LVL,3B,,
10143R,ALI-252,20231,Lecture,9,12,HED,103,,
10144R,ALI-252,20231,Lecture,9,12,DCC,B24,,
10145R,ALI-254,20231,Lecture,9,12,DMC,104,,
10146R,ALI-254,20231,Lecture,9,12,THH,117,,
10150R,ALI-255,20231,Lecture,6,10,THH,217,,
10151R,ALI-255,20231,Lecture,11,12,THH,209,,
10152D,ALI-256,20231,Lecture,7,8,DCC,B24,,
10153D,ALI-256,20231,Lecture,7,8,WPH,204,,
10154D,ALI-270,20231,Lecture,5,8,THH,219,,
10155D,ALI-270,20231,Lecture,7,8,THH,111,,
10157D,ALI-270,20231,Lecture,6,8,THH,109,,
10159D,ALI-271,20231,Lecture,3,3,OFFICE,,,
10160D,ALI-271,20231,Lecture,3,3,OFFICE,,,
10162D,ALI-271,20231,Lecture,3,3,OFFICE,,,
10165D,ALI-274,20231,Lecture,3,8,SOS,B38,,
10166D,ALI-274,20231,Lecture,8,8,DMC,103,,
10170D,ALI-275,20231,Lecture,11,11,THH,111,,
10171D,ALI-275,20231,Lecture,7,8,WPH,204,,
10172D,ALI-275,20231,Lecture,7,8,THH,117,,
10173D,ALI-275,20231,Lecture,7,8,WPH,200,,
10310D,AMST-101,20231,Lecture,148,148,MHP,101,,
10311R,AMST-101,20231,Discussion,24,25,GFS,228,,
10312R,AMST-101,20231,Discussion,25,25,KAP,166,,
10313R,AMST-101,20231,Discussion,25,25,SGM,226,,
10314R,AMST-101,20231,Discussion,24,25,KAP,163,,
10315R,AMST-101,20231,Discussion,25,25,GFS,107,,
10316R,AMST-101,20231,Discussion,25,25,DMC,205,,
10320D,AMST-135,20231,Lecture,139,140,SGM,101,,
10321R,AMST-135,20231,Discussion,19,25,WPH,203,,
10322R,AMST-135,20231,Discussion,21,25,WPH,205,,
10323R,AMST-135,20231,Discussion,25,25,SOS,B47,,
10324R,AMST-135,20231,Discussion,25,25,GFS,220,,
10325R,AMST-135,20231,Discussion,24,25,GFS,220,,
10327R,AMST-135,20231,Discussion,25,26,KAP,141,,
10338D,AMST-150,20231,Lecture,143,150,SAL,101,,
10339R,AMST-150,20231,Discussion,24,24,KAP,167,,
10340R,AMST-150,20231,Discussion,25,25,GFS,229,,
10341R,AMST-150,20231,Discussion,25,25,GFS,104,,
10342R,AMST-150,20231,Discussion,24,25,GFS,108,,
10343R,AMST-150,20231,Discussion,23,25,GFS,108,,
10344R,AMST-150,20231,Discussion,22,25,KAP,159,,
10347D,AMST-200,20231,Lecture,48,49,ZHS,352,,
10348D,AMST-200,20231,Discussion,25,26,DMC,161,,
10349D,AMST-200,20231,Discussion,23,25,DMC,161,,
10359R,AMST-204,20231,Lecture,30,30,SGM,226,,
10360R,AMST-205,20231,Lecture,49,49,ZHS,252,,
10364R,AMST-205,20231,Discussion,25,25,GFS,229,,
10365R,AMST-205,20231,Discussion,24,25,GFS,105,,
10361R,AMST-206,20231,Lecture,23,100,SGM,101,,
10362R,AMST-206,20231,Discussion,4,22,WPH,202,,
10363R,AMST-206,20231,Discussion,6,25,GFS,228,,
10369R,AMST-206,20231,Discussion,9,22,WPH,202,,
10370R,AMST-206,20231,Discussion,4,25,GFS,223,,
10371D,AMST-230,20231,Lecture,28,29,GFS,222,,
10372D,AMST-250,20231,Lecture,103,105,THH,202,,
10373R,AMST-250,20231,Discussion,12,25,DMC,257,,
10375R,AMST-250,20231,Discussion,22,25,GFS,213,,
10376R,AMST-250,20231,Discussion,17,25,KAP,163,,
10377R,AMST-250,20231,Discussion,18,25,KAP,165,,
10378R,AMST-250,20231,Discussion,14,25,GFS,104,,
10380R,AMST-250,20231,Discussion,20,25,GFS,105,,
10390D,AMST-274,20231,Lecture,42,76,SGM,124,,
10392R,AMST-274,20231,Discussion,13,25,GFS,220,,
10393R,AMST-274,20231,Discussion,13,25,GFS,105,,
10395R,AMST-274,20231,Discussion,11,25,THH,110,,
10396R,AMST-274,20231,Discussion,5,25,VHE,210,,
10399D,AMST-285,20231,Lecture,47,50,GFS,101,,
10402R,AMST-285,20231,Discussion,24,25,WPH,B30,,
10403R,AMST-285,20231,Discussion,23,25,DMC,261,,
10408D,AMST-301,20231,Lecture,144,145,THH,202,,
10409R,AMST-301,20231,Discussion,25,25,GFS,104,,
10410R,AMST-301,20231,Discussion,21,25,KAP,167,,
10411R,AMST-301,20231,Discussion,25,25,DMC,109,,
10412R,AMST-301,20231,Discussion,25,25,SGM,226,,
10413R,AMST-301,20231,Discussion,24,25,GFS,213,,
10415D,AMST-301,20231,Discussion,24,25,GFS,105,,
10420D,AMST-305,20231,Lecture,14,19,THH,108,,
10423D,AMST-325,20231,Lecture,49,50,ZHS,252,,
10425R,AMST-325,20231,Discussion,24,25,GFS,229,,
10427R,AMST-325,20231,Discussion,25,25,GFS,220,,
10414D,AMST-330,20231,Lecture,10,19,DMC,158,,
10424D,AMST-350,20231,Lecture,7,30,KAP,145,,
10426D,AMST-365,20231,Lecture,8,8,THH,211,,
10428D,AMST-373,20231,Lecture,7,30,WPH,B30,,
10430D,AMST-378,20231,Lecture,7,19,THH,213,,
10434D,AMST-389,20231,Lecture,12,15,GFS,109,,
10433D,AMST-392,20231,Lecture,9,10,KAP,150,,
10436D,AMST-446,20231,Lecture,14,29,ZHS,360,,
10438D,AMST-449,20231,Lecture,23,29,SGM,601,,
10439D,AMST-452,20231,Lecture,30,30,GFS,207,,
10441D,AMST-490,20231,Lecture,2,15,OFFICE,,,2
10442D,AMST-490,20231,Lecture,0,12,OFFICE,,,1
10443D,AMST-493,20231,Lecture,6,10,KAP,165,,
10466D,AMST-567,20231,Lecture,13,15,GFS,107,,
10468D,AMST-570,20231,Lecture,9,10,GFS,107,,
10478D,AMST-590,20231,Lecture,8,10,OFFICE,,,
10476D,AMST-645,20231,Lecture,5,12,KAP,150,,
10489D,AMST-680,20231,Lecture,11,13,THH,109,,
10492D,AMST-701,20231,Lecture,8,12,DMC,103,,
10493D,AMST-790,20231,Lecture,1,5,OFFICE,,,
10495D,AMST-794A,20231,Lecture,0,10,OFFICE,,,
10496D,AMST-794B,20231,Lecture,6,10,OFFICE,,,
10497D,AMST-794C,20231,Lecture,0,10,OFFICE,,,
10498D,AMST-794D,20231,Lecture,1,10,OFFICE,,,
10499D,AMST-794Z,20231,Lecture,10,20,OFFICE,,,
10719R,ANTH-202,20231,Discussion,24,24,KAP,148,,
10835R,ANTH-202,20231,Discussion,26,26,KAP,148,,
10704R,ANTH-202,20231,Lecture,150,150,THH,201 & ONLINE,,
10705R,ANTH-202,20231,Discussion,20,20,DMC,155,,
10706R,ANTH-202,20231,Discussion,25,25,DMC,155,,
10707R,ANTH-202,20231,Discussion,27,27,SOS,B48,,
10708R,ANTH-202,20231,Discussion,28,28,KAP,166,,
10805R,ANTH-205,20231,Lecture-Discussion,34,33,KAP,148,,
10608R,ANTH-263,20231,Lecture,49,50,GFS,106,,
10609R,ANTH-263,20231,Discussion,25,25,KAP,140,,
10611R,ANTH-263,20231,Discussion,24,25,GFS,220,,
10710R,ANTH-263,20231,Lecture,69,75,THH,301,,
10711D,ANTH-263,20231,Discussion,25,26,DMC,160,,
10712R,ANTH-263,20231,Discussion,24,26,THH,106,,
10713R,ANTH-263,20231,Discussion,20,25,GFS,107,,
10714D,ANTH-263,20231,Discussion,0,0,,,,
10715R,ANTH-273,20231,Lecture,7,25,KAP,147,,
10613D,ANTH-301,20231,Lecture,0,0,,,,
10831R,ANTH-312,20231,Lecture,12,19,DMC,259,,
10617R,ANTH-315,20231,Lecture,99,103,THH,202,,
10619R,ANTH-315,20231,Discussion,26,27,THH,213,,
10620R,ANTH-315,20231,Discussion,26,27,THH,213,,
10621R,ANTH-315,20231,Discussion,26,27,DMC,154,,
10622R,ANTH-315,20231,Discussion,21,22,THH,213,,
10624R,ANTH-321,20231,Lecture,9,25,THH,214,,
10623R,ANTH-325,20231,Lecture,9,25,DMC,109,,
10626R,ANTH-333,20231,Lecture,92,100,THH,202,,
