Code,Name,20201,20202,20203,20211,20212,20213,20221,20222,20223,20231,20232,20233,20241,20242,20243,20251,20252,20253
ACAD,"Arts, Technology and the Business of Innovation",Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD,Y ACAD
ACCT,Accounting,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y ACTN,Y ACTN,Y ACTN,Y ACTN
ACMD,Academic Medicine,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK
ADNT,Advanced Dental Education Conjoint Program,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR
ADSC,Addiction Science,,,,,,,,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK
AEST,Aerospace Studies,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP
AHIS,Art History,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
ALI,American Language Institute,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
AME,Aerospace and Mechanical Engineering,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV
AMED,Anesthesia And Medicine,,,,,,,,,,,,,,Y DNTR,Y DNTR,,,
